"Dept Name","Type","Type Description","County Description"
"Addison Fire Department","VOL","Volunteer Department","Addison County"
"Albany Fire Department","VOL","Volunteer Department","Orleans County"
"Alburgh Fire Department","VOL","Volunteer Department","Grand Isle County"
"Arlington Fire Department","VOL","Volunteer Department","Bennington County"
"Ascutney Fire Department","VOL","Volunteer Department","Windsor County"
"Bakersfield Fire Department","VOL","Volunteer Department","Franklin County"
"Barnard Fire Department","VOL","Volunteer Department","Windsor County"
"Barnet Fire & Rescue","VOL","Volunteer Department","Caledonia County"
"Barre City Fire Department","CAR","Career Department","Washington County"
"Barre Town Fire Department","VOL","Volunteer Department","Washington County"
"Beecher Falls Fire Department","VOL","Volunteer Department","Essex County"
"Bellows Falls Fire Department","COMB","Combination","Windham County"
"Bennington Fire Department","VOL","Volunteer Department","Bennington County"
"Bennington Rural Fire Department","VOL","Volunteer Department","Bennington County"
"Benson Town Fire Department","VOL","Volunteer Department","Rutland County"
"Berkshire Fire Department","VOL","Volunteer Department","Franklin County"
"Berlin Volunteer Fire Department","VOL","Volunteer Department","Washington County"
"Bethel Fire Department","VOL","Volunteer Department","Windsor County"
"Bolton Fire Department","VOL","Volunteer Department","Chittenden County"
"Bradford Fire Department","VOL","Volunteer Department","Orange County"
"Brandon Fire Department","VOL","Volunteer Department","Rutland County"
"Brattleboro Fire Department","CAR","Career Department","Windham County"
"Bridgewater Fire Department","VOL","Volunteer Department","Windsor County"
"Bridport Fire Department","VOL","Volunteer Department","Addison County"
"Brighton Fire Department","VOL","Volunteer Department","Essex County"
"Bristol Fire Department","VOL","Volunteer Department","Addison County"
"BroadBrook Fire Dept.","VOL","Volunteer Department","Orange County"
"Brookfield Fire Department","VOL","Volunteer Department","Orange County"
"Burlington Fire Department","CAR","Career Department","Chittenden County"
"Cabot Fire Department","VOL","Volunteer Department","Washington County"
"Cambridge Fire Department","VOL","Volunteer Department","Lamoille County"
"Castleton Fire Department","VOL","Volunteer Department","Rutland County"
"Cavendish Fire Department","VOL","Volunteer Department","Windsor County"
"Charleston Fire Department","VOL","Volunteer Department","Orleans County"
"Charlotte Fire Department","VOL","Volunteer Department","Chittenden County"
"Chelsea Fire Department","VOL","Volunteer Department","Orange County"
"Chester Fire Department","VOL","Volunteer Department","Windsor County"
"Chittenden Fire Department","VOL","Volunteer Department","Rutland County"
"Clarendon Fire Department","VOL","Volunteer Department","Rutland County"
"Colchester Fire Department","VOL","Volunteer Department","Chittenden County"
"Concord Fire Department","VOL","Volunteer Department","Essex County"
"East Corinth Fire Department","VOL","Volunteer Department","Orange County"
"Cornwall Fire Department","VOL","Volunteer Department","Addison County"
"Craftsbury Fire Department","VOL","Volunteer Department","Orleans County"
"Danby-Mount Tabor Fire Department","VOL","Volunteer Department","Rutland County"
"Danville Fire Department","VOL","Volunteer Department","Caledonia County"
"Derby Line Fire Department","VOL","Volunteer Department","Orleans County"
"Dorset Fire Department","VOL","Volunteer Department","Bennington County"
"East Burke Fire Department","VOL","Volunteer Department","Caledonia County"
"East Dorset Fire Department","VOL","Volunteer Department","Bennington County"
"East Dover Fire Department","VOL","Volunteer Department","Windham County"
"East Montpelier Fire Department","VOL","Volunteer Department","Washington County"
"East Randolph Fire Department","VOL","Volunteer Department","Orange County"
"East Wallingford Fire Department","VOL","Volunteer Department","Rutland County"
"Elmore Fire Department","VOL","Volunteer Department","Lamoille County"
"Enosburgh Falls Fire Department","VOL","Volunteer Department","Franklin County"
"Essex Junction Fire Department","VOL","Volunteer Department","Chittenden County"
"Essex Fire Department","VOL","Volunteer Department","Chittenden County"
"Fair Haven Fire Department","VOL","Volunteer Department","Rutland County"
"Fairfax Fire Department","VOL","Volunteer Department","Franklin County"
"Fairfield Fire Department","VOL","Volunteer Department","Franklin County"
"Fairlee Fire Department","VOL","Volunteer Department","Orange County"
"Ferrisburgh Volunteer Fire Department","VOL","Volunteer Department","Addison County"
"Franklin Fire Department","VOL","Volunteer Department","Franklin County"
"Georgia Fire Department","VOL","Volunteer Department","Franklin County"
"Glover Fire Department","VOL","Volunteer Department","Orleans County"
"Grafton Fire Department","VOL","Volunteer Department","Windham County"
"Grand Isle Fire Department","VOL","Volunteer Department","Grand Isle County"
"Granville Fire Department","VOL","Volunteer Department","Addison County"
"Greensboro Fire Department","VOL","Volunteer Department","Orleans County"
"Groton Fire Department","VOL","Volunteer Department","Caledonia County"
"Guilford Fire Department","COMB","Combination","Windham County"
"Halifax Fire Department","VOL","Volunteer Department","Windham County"
"Hancock Fire Department","VOL","Volunteer Department","Addison County"
"Hardwick Fire Department","VOL","Volunteer Department","Caledonia County"
"Hartford Fire Department","CAR","Career Department","Windsor County"
"Hartland Fire Department","VOL","Volunteer Department","Windsor County"
"Highgate Fire Department","VOL","Volunteer Department","Franklin County"
"Hinesburg Fire Department","VOL","Volunteer Department","Chittenden County"
"Hubbardton Fire Department","VOL","Volunteer Department","Rutland County"
"Huntington Fire Department","VOL","Volunteer Department","Chittenden County"
"Hyde Park Fire Department","VOL","Volunteer Department","Lamoille County"
"Ira Fire Department","VOL","Volunteer Department","Rutland County"
"Irasburg Fire Department","VOL","Volunteer Department","Orleans County"
"Isle LaMotte Fire Department","VOL","Volunteer Department","Grand Isle County"
"Jamaica Fire Department","VOL","Volunteer Department","Windham County"
"Jay Fire Department","VOL","Volunteer Department","Orleans County"
"Johnson Fire Department","VOL","Volunteer Department","Lamoille County"
"Killington Fire and Rescue","VOL","Volunteer Department","Rutland County"
"Lincoln Fire Department","VOL","Volunteer Department","Addison County"
"Londonderry Fire Department","VOL","Volunteer Department","Windham County"
"Lowell Fire Department","VOL","Volunteer Department","Orleans County"
"Ludlow Fire Department","VOL","Volunteer Department","Windsor County"
"Lunenburg Fire Department","VOL","Volunteer Department","Essex County"
"Lyndonville Fire Department","VOL","Volunteer Department","Caledonia County"
"Manchester Fire Department","VOL","Volunteer Department","Bennington County"
"Marlboro Fire Department","VOL","Volunteer Department","Windham County"
"Marshfield Fire Department","VOL","Volunteer Department","Washington County"
"Middlebury Fire Department","VOL","Volunteer Department","Addison County"
"Middlesex Fire Department","VOL","Volunteer Department","Washington County"
"Middletown Springs Fire Department","VOL","Volunteer Department","Rutland County"
"Milton Fire Department","VOL","Volunteer Department","Chittenden County"
"Monkton Fire Department","VOL","Volunteer Department","Addison County"
"Montgomery Fire Department","VOL","Volunteer Department","Franklin County"
"Montpelier Fire Department","CAR","Career Department","Washington County"
"Moretown Fire Department","VOL","Volunteer Department","Washington County"
"Morristown Fire Department","VOL","Volunteer Department","Lamoille County"
"Morrisville Fire Department","VOL","Volunteer Department","Lamoille County"
"Mount Holly Fire Department","VOL","Volunteer Department","Rutland County"
"New Haven Fire Department","VOL","Volunteer Department","Addison County"
"Newark Fire Department, Inc","VOL","Volunteer Department","Essex County"
"Newbrook Fire Department","VOL","Volunteer Department","Windham County"
"Newbury Fire Department","VOL","Volunteer Department","Orange County"
"Newport Center Fire Department","VOL","Volunteer Department","Orleans County"
"Newport City Fire Department","VOL","Volunteer Department","Orleans County"
"North Bennington Fire Department","VOL","Volunteer Department","Bennington County"
"North Hero Fire Department","VOL","Volunteer Department","Grand Isle County"
"North Hyde Park-Eden Fire Dept","VOL","Volunteer Department","Lamoille County"
"North Troy Fire Department","VOL","Volunteer Department","Orleans County"
